,question,bloom_cat_name
0,What is the main function of a Galvanic cell?,Remembering
1,What are the two half-cells in a Galvanic cell connected by?,Understanding
2,"In a Galvanic cell, where does oxidation occur?",Application
3,"If the potential difference between the anode and cathode in a Galvanic cell is increased, what will happen to the current?",Higher Order Thinking Skills
4,Is a Galvanic cell with a larger potential difference always better than one with a smaller potential difference?,Evaluation
5,What is the difference between a Galvanic cell and an electrolytic cell?,Not Applicable
6,What is the average rate of change of a function f(x) from x = a to x = b?,Remembering
7,"If a car travels 150 kilometers in 3 hours, what is its average speed?",Understanding
8,"How would you calculate the average rate of change of the function f(x) = x^2 over the interval [1, 4]?",Application
9,"Given the function f(x) = 3x^3, what is the average rate of change from x = 2 to x = 5?",Higher Order Thinking Skills
10,Evaluate the statement: 'The average rate of change of a function is the same as its instantaneous rate of change at a point.',Evaluation
11,What does the average rate of change of a function tell you between two points?,Remembering
12,"If a car travels 150 kilometers in 3 hours, what is the average rate of change of its distance with respect to time?",Understanding
13,How would you calculate the average rate of change of a function f(x) from x = a to x = b?,Application
14,"Given a quadratic function f(x) = x^2, what is the average rate of change from x = 2 to x = 4?",Higher Order Thinking Skills
15,Evaluate the statement: 'The average rate of change of a function on an interval can be zero even if the function values are not constant on that interval.',Evaluation
16,What does the instantaneous rate of change of a function at a point represent?,Remembering
17,"If a car's speedometer reads a constant 60 km/h, what is the instantaneous rate of change of the car's position with respect to time?",Understanding
18,How would you estimate the instantaneous rate of change of a function at a point if you only have a graph of the function?,Application
19,What is the instantaneous rate of change of the function f(x) = x^2 at x = 3?,Higher Order Thinking Skills
20,"Given the position function s(t) = t^3 - 4t + 5, where s is in meters and t is in seconds, evaluate the instantaneous velocity of the object at t = 2 seconds.",Evaluation
21,What is the basic formula for calculating the area under the curve y = f(x) from x = a to x = b?,Remembering
22,Why do we use integration to find the area under a curve?,Understanding
23,How would you approximate the area under the curve y = x^2 from x = 0 to x = 2 using rectangles?,Application
24,"If the curve y = x^2 is rotated around the x-axis, what geometric shape is formed?",Higher Order Thinking Skills
25,Evaluate the statement: 'The area under the curve y = 3x from x = 1 to x = 4 is equal to the area of a rectangle with width 3 and length 3.',Evaluation
26,What is the basic formula to calculate the area under the curve y = f(x) from x = a to x = b?,Remembering
27,How would you find the area under the curve y = x^2 between x = 1 and x = 3?,Application
28,"If the area under the curve y = 3x from x = 0 to x = 4 is represented by the integral, what is the integral expression?",Higher Order Thinking Skills
29,Evaluate the area under the curve y = 4x + 1 from x = 2 to x = 5.,Evaluation
30,What is the basic formula to calculate the area under a curve y=f(x) from x=a to x=b?,Remembering
31,Why do we use integration to find the area under a curve?,Understanding
32,"If you are given the curve y=x^2 and the line y=4, how would you find the area of the region bounded by the curve and the line?",Application
33,How can you determine the exact points where the curve y=x^3 intersects the line y=8?,Higher Order Thinking Skills
34,Which method would you use to find the area of the region bounded by the parabola y=x^2 and the line y=2x?,Evaluation
35,What is the basic formula to calculate the area under a curve y=f(x) from x=a to x=b?,Remembering
36,How would you approximate the area under the curve y=x^2 between x=0 and x=2 using rectangles?,Application
37,"If the line y=3 intersects the curve y=x^2, what is the area of the region bounded by the curve and the line between x=0 and x=3?",Higher Order Thinking Skills
38,Evaluate the area of the region bounded by the curve y=x^3 and the x-axis from x=-1 to x=1.,Evaluation
39,"If a car travels 150 kilometers in 3 hours, what is its average rate of change in terms of distance over time?",Understanding
40,How would you calculate the average rate of change of a function f(x) from x = a to x = b?,Application
