Questions,Paragraphs,validity_new_prompt
Who is the mysterious old man that moved into the abandoned mansion on the hill in Meadowgrove?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
Where did the rumor start about Mr. Abernathy being a warlock?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
Why is Mr. Abernathy considered a mysterious figure in Meadowgrove?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
What made the town's children start noticing the mansion at night?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
What kind of sounds were heard coming from the mansion at night?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
What sparked the children's curiosity about the strange lights in the mansion?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
"What are the origins of Mr. Abernathy, as mentioned in the paragraph?","In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",No
Why is Mr. Abernathy suspected of practicing dark magic?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
What is the location of the abandoned mansion that Mr. Abernathy moved into?,"In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
"What is the town's reaction to the newcomer, Mr. Abernathy?","In the small town of Meadowgrove, a mysterious old man named Mr. Abernathy moved into the abandoned mansion on the hill. No one knew where he came from or why he chose to live in such a secluded place. As the weeks went by, the town's children began to notice strange lights and sounds coming from the mansion at night. Rumors started to spread that Mr. Abernathy was a warlock, practicing dark magic in his new home.",Yes
How old is the curious girl who sneaked out of her house?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",No
What was the girl's objective when she approached the mansion?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
"What did the figure in the window hold, as observed by Emily?","Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
How did Emily feel when she saw the figure in the window?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
What object did Emily find Mr. Abernathy holding when she peeked through the window?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
What was Mr. Abernathy studying in the mansion?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
What was Emily's reaction when she saw Mr. Abernathy in the mansion?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
What was visible in the crystal ball that Mr. Abernathy was holding?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",No
What can be inferred about Mr. Abernathy based on the paragraph?,"Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
"What was the glowing object Emily saw in the figure's hand, which turned out to be a crystal ball?","Little Emily, a curious and adventurous 8-year-old, decided to find out the truth for herself. One evening, she sneaked out of her house and approached the mansion. As she got closer, she saw a figure in the window, holding a glowing orb. Her heart pounded in her chest, but she forced herself to move closer. When she finally peeked through a crack in the window, she was surprised to see Mr. Abernathy holding a crystal ball, studying an ancient map.",Yes
Who did Emily visit over the next few days?,"Over the next few days, Emily continued to visit the mansion, spying on Mr. Abernathy and his mysterious activities. She soon discovered that he was not a warlock, but an archaeologist, searching for a long-lost treasure hidden somewhere in the town. Excited by her discovery, Emily decided to help Mr. Abernathy, hoping to be a part of the adventure.",Yes
What was Mr. Abernathy initially thought to be by Emily?,"Over the next few days, Emily continued to visit the mansion, spying on Mr. Abernathy and his mysterious activities. She soon discovered that he was not a warlock, but an archaeologist, searching for a long-lost treasure hidden somewhere in the town. Excited by her discovery, Emily decided to help Mr. Abernathy, hoping to be a part of the adventure.",Yes
Who studied the ancient map with Emily?,"Together, Emily and Mr. Abernathy studied the ancient map, trying to decipher its clues. They spent countless hours researching the town's history, looking for any hints that could lead them to the treasure. As they worked together, a strong bond formed between them, and Emily found a mentor and a friend in Mr. Abernathy.",Yes
What did Emily and Mr. Abernathy do to the ancient map?,"Together, Emily and Mr. Abernathy studied the ancient map, trying to decipher its clues. They spent countless hours researching the town's history, looking for any hints that could lead them to the treasure. As they worked together, a strong bond formed between them, and Emily found a mentor and a friend in Mr. Abernathy.",No
